event_id,user_id,event_name,event_ts,device,session_id
f99943f2-643d-49f3-9b85-6c9f1363abdf,u_000000,signup,2024-02-18 16:00:00,mobile,s_00000001
df9d1b2e-78c9-4b56-bd77-c5f0b03ff470,u_000000,page_view,2024-06-18 00:00:00,mobile,s_00000002
e56aec3a-67e7-4c09-91ef-99e086e3384b,u_000000,feature_used,2024-06-28 00:00:00,mobile,s_00000003
6bca4e25-773e-4994-a846-1f3eba5fd28f,u_000000,settings_changed,2024-07-28 00:00:00,tablet,s_00000004
d17db7e0-a2b2-42c7-ac4f-88e74fba091c,u_000000,export,2024-07-07 00:00:00,desktop,s_00000005
c4394a00-59dd-498e-bae7-7e05ac0b4014,u_000000,settings_changed,2024-03-13 00:00:00,mobile,s_00000006
0625cf2f-b45f-4505-80d8-cb0d2a288eed,u_000000,settings_changed,2024-06-06 00:00:00,mobile,s_00000007
75120f23-97b9-4e5c-aca1-fbeeb35ea7cd,u_000000,page_view,2024-05-10 00:00:00,desktop,s_00000008
bd7ac091-7aec-458e-a5c7-1d35e3307e20,u_000000,settings_changed,2024-06-01 00:00:00,desktop,s_00000009
fa3f37c9-9cfa-4c70-8fc6-89acd5853a60,u_000000,page_view,2024-02-21 00:00:00,mobile,s_00000010
0f42244c-9343-4d1d-b4f2-2b47c0497ad9,u_000000,page_view,2024-06-23 00:00:00,tablet,s_00000011
8be484b0-2822-4a1d-95b8-9dfdd90c41e4,u_000000,export,2024-05-25 00:00:00,tablet,s_00000012
aa5f079e-14a4-4ecb-a7fc-73e3ff6469d8,u_000000,page_view,2024-05-01 00:00:00,tablet,s_00000013
f5a61d05-91f2-4b64-8791-23950f141567,u_000001,signup,2025-02-27 01:00:00,tablet,s_00000014
72049af6-8ea2-4518-b9a0-c1ad62dead8a,u_000001,workspace_created,2025-02-28 20:00:00,mobile,s_00000015
a51e1bd8-4738-4a25-a583-450dd462788a,u_000001,invite_sent,2025-03-02 21:00:00,tablet,s_00000016
6bdb6fd5-be83-44e6-9362-9d08f503f351,u_000001,first_project,2025-03-03 00:00:00,tablet,s_00000017
2c7c16c0-01ec-4c87-be30-9c0337247cdd,u_000001,export,2025-06-26 00:00:00,mobile,s_00000018
2fbf77aa-3c09-4669-baa6-b571b0cae8a6,u_000001,export,2025-04-04 00:00:00,tablet,s_00000019
2d81b533-e621-4149-bd80-d4afc4c0ea79,u_000001,page_view,2025-03-31 00:00:00,tablet,s_00000020
2183bd41-bc2a-4c19-9310-6e169e8b600e,u_000001,export,2025-03-22 00:00:00,mobile,s_00000021
3ce0fddd-3fd0-49b6-bf78-e6cc0714516b,u_000001,export,2025-06-09 00:00:00,desktop,s_00000022
f456aa0d-7602-4ffb-8d70-197669879572,u_000001,page_view,2025-04-12 00:00:00,tablet,s_00000023
53f9a27f-f7c3-4541-ba4b-e8bbf028c760,u_000001,feature_used,2025-04-25 00:00:00,desktop,s_00000024
de199336-5fd5-45c8-800c-cd7319a6f6a2,u_000001,settings_changed,2025-04-30 00:00:00,desktop,s_00000025
21521a62-7a4b-4f8b-8f1c-4e490e694b7e,u_000001,export,2025-07-07 00:00:00,tablet,s_00000026
ef0b0540-4c00-4c68-909e-dddb2af48505,u_000001,settings_changed,2025-05-26 00:00:00,tablet,s_00000027
8e015fba-e4b2-4d38-ace0-d97e0b96d20e,u_000002,signup,2024-12-24 15:00:00,desktop,s_00000028
ae8deda0-743a-4392-aedb-1d89649dad24,u_000002,page_view,2025-06-02 00:00:00,mobile,s_00000029
